0  -192068  343282  29244.4
3328  -194843  341491  29393.6
6656  -197604  339675  29540.6
9984  -200350  337834  29685.4
13312  -203082  335968  29828.1
16640  -205799  334078  29968.6
19968  -208502  332163  30106.8
23296  -211189  330223  30242.9
26624  -213860  328258  30376.7
29952  -216516  326270  30508.2
33280  -219156  324257  30637.5
36608  -221780  322220  30764.5
39936  -224388  320159  30889.3
43264  -226980  318074  31011.7
46592  -229554  315966  31131.8
49920  -232112  313833  31249.6
53248  -234652  311677  31365
56576  -237176  309498  31478.1
59904  -239681  307296  31588.8
63232  -242169  305070  31697.2
66560  -244639  302822  31803.1
69888  -247091  300550  31906.7
73216  -249524  298256  32007.9
76544  -251939  295939  32106.6
79872  -254335  293600  32202.9
83200  -256711  291238  32296.8
86528  -259069  288854  32388.2
89856  -261407  286448  32477.1
93184  -263726  284021  32563.6
96512  -266024  281571  32647.5
99840  -268303  279100  32729
103168  -270561  276608  32808
106496  -272799  274094  32884.4
109824  -275016  271559  32958.3
113152  -277212  269003  33029.7
116480  -279388  266426  33098.6
119808  -281541  263829  33164.8
123136  -283674  261211  33228.6
126464  -285785  258573  33289.7
129792  -287873  255915  33348.3
133120  -289940  253237  33404.2
136448  -291985  250539  33457.6
139776  -294007  247822  33508.3
143104  -296006  245085  33556.5
146432  -297983  242329  33602
149760  -299937  239554  33644.8
153088  -301867  236760  33685.1
156416  -303774  233947  33722.7
159744  -305657  231116  33757.6
163072  -307517  228266  33789.8
166400  -309352  225399  33819.4
169728  -311164  222513  33846.3
173056  -312951  219610  33870.6
176384  -314713  216689  33892.1
179712  -316451  213751  33910.9
183040  -318164  210796  33927.1
186368  -319852  207824  33940.5
189696  -321515  204835  33951.2
193024  -323152  201830  33959.2
196352  -324764  198809  33964.4
199680  -326350  195771  33967
203008  -327910  192718  33966.8
206336  -329444  189649  33963.8
209664  -330952  186565  33958.1
212992  -332434  183465  33949.7
216320  -333888  180350  33938.5
219648  -335316  177221  33924.5
222976  -336718  174078  33907.8
226304  -338092  170920  33888.3
229632  -339439  167748  33866.1
232960  -340758  164562  33841.1
236288  -342050  161363  33813.3
239616  -343315  158150  33782.8
242944  -344551  154924  33749.4
246272  -345760  151686  33713.3
249600  -346940  148435  33674.4
252928  -348092  145171  33632.7
256256  -349216  141896  33588.3
259584  -350312  138608  33541
262912  -351378  135309  33491
266240  -352416  131999  33438.2
269568  -353425  128678  33382.6
272896  -354405  125346  33324.2
276224  -355355  122003  33263.1
279552  -356277  118650  33199.1
282880  -357168  115287  33132.4
286208  -358031  111914  33062.9
289536  -358863  108532  32990.6
292864  -359666  105140  32915.5
296192  -360439  101740  32837.7
299520  -361182  98330.6  32757.1
302848  -361895  94913  32673.7
306176  -362577  91487.3  32587.5
309504  -363229  88053.7  32498.6
312832  -363851  84612.6  32406.9
316160  -364442  81164.2  32312.4
319488  -365002  77708.7  32215.2
322816  -365532  74246.5  32115.2
326144  -366031  70777.9  32012.5
329472  -366499  67303.1  31907
332800  -366936  63822.5  31798.8
336128  -367342  60336.3  31687.9
339456  -367716  56844.8  31574.2
342784  -368060  53348.2  31457.8
346112  -368372  49847  31338.7
349440  -368652  46341.4  31216.9
352768  -368902  42831.7  31092.4
356096  -369119  39318.2  30965.2
359424  -369305  35801.1  30835.3
362752  -369459  32280.9  30702.7
366080  -369582  28757.7  30567.4
369408  -369673  25231.9  30429.5
372736  -369732  21703.9  30288.9
376064  -369759  18173.8  30145.7
379392  -369754  14642.1  29999.8
382720  -369717  11108.9  29851.3
386048  -369648  7574.7  29700.1
389376  -369547  4039.72  29546.4
392704  -369414  504.279  29390
396032  -369249  -3031.3  29231.1
399360  -369052  -6566.72  29069.5
402688  -368822  -10101.7  28905.4
406016  -368560  -13635.8  28738.8
409344  -368267  -17168.8  28569.6
412672  -367940  -20700.5  28397.8
416000  -367582  -24230.3  28223.6
419328  -367191  -27758.2  28046.8
422656  -366768  -31283.6  27867.5
425984  -366313  -34806.4  27685.7
429312  -365826  -38326.1  27501.5
432640  -365306  -41842.6  27314.8
435968  -364754  -45355.4  27125.6
439296  -364170  -48864.2  26934
442624  -363554  -52368.8  26740
445952  -362905  -55868.7  26543.6
449280  -362224  -59363.8  26344.8
452608  -361511  -62853.5  26143.7
455936  -360766  -66337.8  25940.1
459264  -359989  -69816.1  25734.3
462592  -359180  -73288.3  25526.1
465920  -358338  -76753.9  25315.6
469248  -357465  -80212.7  25102.8
472576  -356560  -83664.3  24887.7
475904  -355623  -87108.5  24670.4
479232  -354654  -90544.8  24450.8
482560  -353653  -93973  24229
485888  -352621  -97392.8  24005
489216  -351557  -100804  23778.8
492544  -350461  -104206  23550.5
495872  -349334  -107598  23320
499200  -348175  -110981  23087.3
502528  -346985  -114354  22852.6
505856  -345764  -117716  22615.8
509184  -344511  -121068  22376.9
512512  -343228  -124409  22135.9
515840  -341913  -127738  21892.9
519168  -340568  -131056  21647.9
522496  -339191  -134362  21400.9
525824  -337784  -137656  21152
529152  -336346  -140937  20901
532480  -334878  -144205  20648.2
535808  -333379  -147460  20393.5
539136  -331850  -150702  20136.9
542464  -330291  -153929  19878.4
545792  -328702  -157143  19618.1
549120  -327083  -160342  19356
552448  -325434  -163527  19092.1
555776  -323756  -166697  18826.4
559104  -322048  -169851  18559
562432  -320310  -172989  18289.8
565760  -318543  -176112  18019
569088  -316748  -179219  17746.5
572416  -314923  -182309  17472.3
575744  -313069  -185382  17196.6
579072  -311187  -188438  16919.2
582400  -309277  -191476  16640.2
585728  -307338  -194497  16359.8
589056  -305371  -197500  16077.7
592384  -303376  -200485  15794.2
595712  -301353  -203451  15509.3
599040  -299302  -206399  15222.8
602368  -297225  -209327  14935
605696  -295119  -212236  14645.8
609024  -292987  -215125  14355.2
612352  -290828  -217994  14063.2
615680  -288642  -220843  13770
619008  -286430  -223671  13475.4
622336  -284191  -226479  13179.7
625664  -281927  -229266  12882.6
628992  -279636  -232031  12584.4
632320  -277320  -234775  12285
635648  -274978  -237497  11984.5
638976  -272611  -240197  11682.8
642304  -270218  -242875  11380
645632  -267801  -245530  11076.2
648960  -265360  -248162  10771.4
652288  -262894  -250771  10465.5
655616  -260404  -253357  10158.7
658944  -257890  -255919  9850.88
662272  -255352  -258458  9542.17
665600  -252791  -260972  9232.57
668928  -250206  -263462  8922.1
672256  -247598  -265928  8610.8
675584  -244968  -268368  8298.69
678912  -242315  -270784  7985.81
682240  -239640  -273175  7672.19
685568  -236943  -275540  7357.84
688896  -234224  -277880  7042.81
692224  -231484  -280193  6727.12
695552  -228723  -282481  6410.8
698880  -225940  -284742  6093.88
702208  -223137  -286977  5776.39
705536  -220313  -289185  5458.37
708864  -217469  -291366  5139.83
712192  -214605  -293520  4820.81
715520  -211721  -295647  4501.35
718848  -208818  -297746  4181.46
722176  -205896  -299818  3861.18
725504  -202955  -301862  3540.55
728832  -199996  -303878  3219.58
732160  -197018  -305865  2898.31
735488  -194022  -307824  2576.77
738816  -191008  -309755  2255
742144  -187977  -311657  1933.01
745472  -184929  -313529  1610.84
748800  -181864  -315373  1288.53
752128  -178782  -317188  966.089
755456  -175684  -318973  643.562
758784  -172570  -320729  320.975
762112  -169441  -322454  -1.64129
765440  -166296  -324150  -324.258
768768  -163136  -325816  -646.844
772096  -159960  -327452  -969.37
775424  -156771  -329058  -1291.81
778752  -153567  -330633  -1614.12
782080  -150349  -332178  -1936.29
785408  -147118  -333692  -2258.28
788736  -143873  -335175  -2580.06
792064  -140616  -336627  -2901.6
795392  -137345  -338049  -3222.87
798720  -134063  -339439  -3543.84
802048  -130768  -340798  -3864.49
805376  -127461  -342125  -4184.78
808704  -124143  -343421  -4504.68
812032  -120814  -344686  -4824.17
815360  -117474  -345919  -5143.22
818688  -114123  -347120  -5461.79
822016  -110762  -348289  -5779.86
825344  -107391  -349426  -6097.4
828672  -104011  -350531  -6414.37
832000  -100621  -351604  -6730.76
835328  -97222.1  -352645  -7046.54
838656  -93814.7  -353654  -7361.66
841984  -90398.9  -354631  -7676.11
845312  -86975.1  -355575  -7989.86
848640  -83543.6  -356486  -8302.88
851968  -80104.7  -357365  -8615.14
